,title,season,episode,url,seid
193,Boy Meets World,03,01,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e01,s03e01
194,Boy Meets World,03,02,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e02,s03e02
195,Boy Meets World,03,03,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e03,s03e03
196,Boy Meets World,03,04,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e04,s03e04
197,Boy Meets World,03,05,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e05,s03e05
198,Boy Meets World,03,06,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e06,s03e06
199,Boy Meets World,03,07,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e07,s03e07
200,Boy Meets World,03,08,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e08,s03e08
201,Boy Meets World,03,09,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e09,s03e09
202,Boy Meets World,03,10,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e10,s03e10
203,Boy Meets World,03,11,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e11,s03e11
204,Boy Meets World,03,12,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e12,s03e12
205,Boy Meets World,03,13,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e13,s03e13
206,Boy Meets World,03,14,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e14,s03e14
207,Boy Meets World,03,15,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e15,s03e15
208,Boy Meets World,03,16,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e16,s03e16
209,Boy Meets World,03,17,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e17,s03e17
210,Boy Meets World,03,18,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e18,s03e18
211,Boy Meets World,03,19,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e19,s03e19
212,Boy Meets World,03,20,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e20,s03e20
213,Boy Meets World,03,21,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e21,s03e21
214,Boy Meets World,03,22,view_episode_scripts.php?tv-show=boy-meets-world&episode=s03e22,s03e22
